FUND_ID,FUND_NAME,FUND_CLASSIFICATION,CONTROLLING_CORPORATION,MANAGING_CORPORATION,REPORT_PERIOD,INCEPTION_DATE,TARGET_POPULATION,SPECIALIZATION,SUB_SPECIALIZATION,DEPOSITS,WITHDRAWLS,INTERNAL_TRANSFERS,NET_MONTHLY_DEPOSITS,TOTAL_ASSETS,AVG_ANNUAL_MANAGEMENT_FEE,AVG_DEPOSIT_FEE,MONTHLY_YIELD,YEAR_TO_DATE_YIELD,YIELD_TRAILING_3_YRS,YIELD_TRAILING_5_YRS,AVG_ANNUAL_YIELD_TRAILING_3YRS,AVG_ANNUAL_YIELD_TRAILING_5YRS,STANDARD_DEVIATION,ALPHA,SHARPE_RATIO,LIQUID_ASSETS_PERCENT,STOCK_MARKET_EXPOSURE,FOREIGN_EXPOSURE,FOREIGN_CURRENCY_EXPOSURE,MANAGING_CORPORATION_LEGAL_ID,CURRENT_DATE
"130","שובל -  קופת גמל ענפית","תגמולים ואישית לפיצויים","הסתדרות העובדים הכללית החדשה","הנדסאים וטכנאים - חברה לניהול קופות גמל בע""מ","202101","1/1/1983 12:00:00 AM","עובדי סקטור מסויים","כללי","כללי","0","0","0","0","0","0.44","","0","0","12.26","26.44","3.93","4.80","6.51","0.12","0.70","","","","","520042607","3/28/2021 12:00:00 AM"
"132","הלמן-אלדובי השתלמות כללי","קרנות השתלמות","הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ","202101","12/1/1994 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","27.51","15.46","-30.92","-18.87","3095.75","0.87","","0.91","0.91","16.09","28.97","5.10","5.22","6.01","0.48","0.83","78.50","1319.56","1282.75","723.94","512227265","3/28/2021 12:00:00 AM"
"132","הלמן-אלדובי השתלמות כללי","קרנות השתלמות","הלמן אלדובי פיננסים בע""מ","הלמן - אלדובי קופות גמל ופנסיה בע""מ","202102","12/1/1994 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","26.39","21.33","-38.56","-33.5","3077.70","0.87","","0.56","1.48","18.07","30.59","5.69","5.48","5.98","0.84","0.86","78.40","1336.25","1296.75","746.31","512227265","3/28/2021 12:00:00 AM"
"150","פסגות שיא פיצויים כללי","מרכזית לפיצויים","פסגות בית השקעות בע""מ","פסגות קופות גמל ופנסיה בע""מ","202101","9/6/1995 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","0","0.62","0.89","0.27","100.98","0.48","","0.95","0.95","12.13","26.45","3.89","4.81","6.47","-0.24","0.70","89.40","45.48","38.60","21.30","513765347","3/28/2021 12:00:00 AM"
"150","פסגות שיא פיצויים כללי","מרכזית לפיצויים","פסגות בית השקעות בע""מ","פסגות קופות גמל ופנסיה בע""מ","202102","9/6/1995 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","0.01","0.8","0","-0.79","100.82","0.48","","0.67","1.63","14.09","28.14","4.49","5.08","6.45","0.24","0.73","89.40","46.41","38.87","20.35","513765347","3/28/2021 12:00:00 AM"
"152","כלל ברזל - קופה מרכזית לפיצויים","מרכזית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202101","12/6/1995 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","0","3.02","-0.38","-3.4","345.97","0.67","","0.45","0.45","8.35","13.97","2.71","2.65","2.97","-0.84","0.79","85.40","0.01","60.34","40.54","512244146","3/28/2021 12:00:00 AM"
"152","כלל ברזל - קופה מרכזית לפיצויים","מרכזית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202102","12/6/1995 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","0","3.79","-1.32","-5.11","338.93","0.67","","-0.51","-0.06","8.40","13.05","2.73","2.48","2.98","-0.72","0.71","85","0.02","63.83","39.28","512244146","3/28/2021 12:00:00 AM"
"154","הראל השתלמות כללי","קרנות השתלמות","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202101","12/6/1995 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","90.68","49.59","-63.6","-22.51","8391.05","0.71","","0.83","0.83","13.38","30.98","4.27","5.55","6.03","0.96","0.83","75.40","3798.94","4217.80","1882.42","512267592","3/28/2021 12:00:00 AM"
"154","הראל השתלמות כללי","קרנות השתלמות","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202102","12/6/1995 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","92.13","63.4","-64.37","-35.64","8410.89","0.71","","0.72","1.56","15.59","32.64","4.95","5.81","6.01","1.20","0.87","75.30","3818.24","4181.13","1684.18","512267592","3/28/2021 12:00:00 AM"
"155","הראל קמ""פ מסלול כללי ","מרכזית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202101","12/6/1995 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","-0.12","0.8","0.92","0","239.91","0.59","","0.83","0.83","12.56","28.95","4.02","5.22","6.32","0.24","0.76","82.30","93.30","96.53","46.27","512267592","3/28/2021 12:00:00 AM"
"155","הראל קמ""פ מסלול כללי ","מרכזית לפיצויים","הראל השקעות בביטוח ושירותים פיננסיים בע""מ","הראל פנסיה וגמל בע""מ","202102","12/6/1995 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","0","0.47","-0.03","-0.5","240.28","0.59","","0.43","1.26","14.49","30.17","4.61","5.41","6.30","0.48","0.78","82.10","94.96","97.14","42.79","512267592","3/28/2021 12:00:00 AM"
"199","מגדל השתלמות מסלול אג""ח","קרנות השתלמות","שלמה אליהו אחזקות בע""מ","מגדל מקפת קרנות פנסיה וקופות גמל בע""מ","202101","9/1/1996 12:00:00 AM","כלל האוכלוסיה","אג""ח","אג""ח","1.18","1.47","-1.93","-2.22","236.03","0.70","","0.61","0.61","9.38","16.28","3.03","3.06","3.45","-0.96","0.77","85.70","0","35.57","17.27","512237744","3/28/2021 12:00:00 AM"
"199","מגדל השתלמות מסלול אג""ח","קרנות השתלמות","שלמה אליהו אחזקות בע""מ","מגדל מקפת קרנות פנסיה וקופות גמל בע""מ","202102","9/1/1996 12:00:00 AM","כלל האוכלוסיה","אג""ח","אג""ח","0.93","1.95","-1.89","-2.91","231.94","0.70","","-0.45","0.16","9.27","15.36","3","2.90","3.47","-0.84","0.71","86.10","1.10","35.93","16.78","512237744","3/28/2021 12:00:00 AM"
"205","פסגות גדיש חו""ל","תגמולים ואישית לפיצויים","פסגות בית השקעות בע""מ","פסגות קופות גמל ופנסיה בע""מ","202101","1/1/1993 12:00:00 AM","כלל האוכלוסיה","ללא סיווג","חו""ל","2.47","0.42","8.27","10.32","174.72","0.58","0.15","2.21","2.21","18.64","25.27","5.86","4.61","5.73","0.12","0.84","93.40","76.22","149.36","155.21","513765347","3/28/2021 12:00:00 AM"
"205","פסגות גדיש חו""ל","תגמולים ואישית לפיצויים","פסגות בית השקעות בע""מ","פסגות קופות גמל ופנסיה בע""מ","202102","1/1/1993 12:00:00 AM","כלל האוכלוסיה","ללא סיווג","חו""ל","1.19","0.2","-2.53","-1.54","173.60","0.58","0.15","0.25","2.47","18.51","27.40","5.82","4.96","5.67","0.60","0.87","93","78.57","155.77","162.83","513765347","3/28/2021 12:00:00 AM"
"211","אקסלנס גמל אג""ח עד 15% מניות","תגמולים ואישית לפיצויים","הפניקס אחזקות בע""מ","הפניקס אקסלנס פנסיה וגמל בע""מ ","202101","1/1/1970 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","5.38","6.72","-2.44","-3.78","2139.95","0.61","0.06","0.90","0.90","14.11","23.17","4.50","4.26","4.10","0.36","0.98","78","313.61","607.89","445.30","513026484","3/28/2021 12:00:00 AM"
"211","אקסלנס גמל אג""ח עד 15% מניות","תגמולים ואישית לפיצויים","הפניקס אחזקות בע""מ","הפניקס אקסלנס פנסיה וגמל בע""מ ","202102","1/1/1970 12:00:00 AM","כלל האוכלוסיה","אג""ח","משולב מניות","4.63","6.55","-12.87","-14.79","2162.40","0.61","0.06","1.80","2.72","16.78","25.50","5.31","4.65","4.14","0.96","1.09","76.50","341.29","583.03","444.81","513026484","3/28/2021 12:00:00 AM"
"223","מיטב דש גמל אג""ח ללא מניות","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","202101","10/26/1994 12:00:00 AM","כלל האוכלוסיה","אג""ח","אג""ח ללא מניות","1.54","4.76","-9.58","-12.8","861.21","0.53","0.32","0.79","0.79","9.73","15.84","3.14","2.98","2.62","0","1.02","78.30","2","143.35","89.14","512065202","3/28/2021 12:00:00 AM"
"223","מיטב דש גמל אג""ח ללא מניות","תגמולים ואישית לפיצויים","מיטב דש השקעות בע""מ","מיטב דש גמל ופנסיה בע""מ","202102","10/26/1994 12:00:00 AM","כלל האוכלוסיה","אג""ח","אג""ח ללא מניות","0.87","2.14","-4.01","-5.28","857","0.53","0.32","0.17","0.96","10.32","15.61","3.33","2.94","2.62","0.12","1.02","78.10","3.30","140.11","91.41","512065202","3/28/2021 12:00:00 AM"
"229","קופת התגמולים של עובדי בנק לאומי","תגמולים ואישית לפיצויים","אחר","החברה לניהול קופות התגמולים והפיצויים של עובדי בנק לאומי בע""מ ","202101","1/1/1970 12:00:00 AM","עובדי מפעל/גוף מסויים","כללי","כללי","6.98","12.45","-35.94","-41.41","5131.81","0","","1.34","1.34","16.50","32.65","5.22","5.81","5.91","1.92","0.93","77.80","2116.82","1949.39","891.05","520005497","3/28/2021 12:00:00 AM"
"229","קופת התגמולים של עובדי בנק לאומי","תגמולים ואישית לפיצויים","אחר","החברה לניהול קופות התגמולים והפיצויים של עובדי בנק לאומי בע""מ ","202102","1/1/1970 12:00:00 AM","עובדי מפעל/גוף מסויים","כללי","כללי","6.73","10.18","-22.31","-25.76","5172.71","0","","1.29","2.65","19.34","35.16","6.07","6.21","5.90","2.40","0.99","77.90","2063.89","1894.12","881.77","520005497","3/28/2021 12:00:00 AM"
"233","קופת בל""ד","מרכזית לפיצויים","בנק דיסקונט לישראל בע""מ","חברת ב'ת למ'ד דל'ת בע""מ","202101","1/1/1970 12:00:00 AM","עובדי מפעל/גוף מסויים","כללי","כללי","0","83.03","0","-83.03","919.10","0.27","","0.71","0.71","11.95","25.03","3.83","4.57","7.10","-1.08","0.64","89.90","416.40","330.29","0.12","510142789","3/28/2021 12:00:00 AM"
"233","קופת בל""ד","מרכזית לפיצויים","בנק דיסקונט לישראל בע""מ","חברת ב'ת למ'ד דל'ת בע""מ","202102","1/1/1970 12:00:00 AM","עובדי מפעל/גוף מסויים","כללי","כללי","0","11.07","0","-11.07","916.89","0.27","","0.97","1.69","14.87","26.62","4.73","4.83","7.09","-0.60","0.68","89.40","389.28","298.87","3.57","510142789","3/28/2021 12:00:00 AM"
"237","פסגות פיצויים כללי","מרכזית לפיצויים","פסגות בית השקעות בע""מ","פסגות קופות גמל ופנסיה בע""מ","202101","1/1/1970 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","0.16","3.05","-1.13","-4.02","683.02","0.69","","1.04","1.04","12.77","25.55","4.09","4.66","6.29","0","0.72","83.60","316.87","259.25","143.22","513765347","3/28/2021 12:00:00 AM"
"237","פסגות פיצויים כללי","מרכזית לפיצויים","פסגות בית השקעות בע""מ","פסגות קופות גמל ופנסיה בע""מ","202102","1/1/1970 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","-0.16","2.91","-3.9","-6.97","682.41","0.69","","0.99","2.04","15.09","27.45","4.80","4.97","6.28","0.48","0.76","83.30","323.24","264.91","147.69","513765347","3/28/2021 12:00:00 AM"
"239","קופה כללית לפיצויים","מרכזית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202101","1/1/1970 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","0","4.32","-0.6","-4.92","605.75","0.88","","1.48","1.48","17.18","32.98","5.43","5.87","6.52","1.08","0.87","84.80","261.39","230.21","137.80","512244146","3/28/2021 12:00:00 AM"
"239","קופה כללית לפיצויים","מרכזית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202102","1/1/1970 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","0","2.79","-5.26","-8.05","603.16","0.88","","0.95","2.44","19.85","35.30","6.22","6.23","6.49","1.56","0.92","84.30","262.88","223.29","135.55","512244146","3/28/2021 12:00:00 AM"
"241","כלל פיצויים למעסיק","מרכזית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202101","1/1/1970 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","0","4.98","-1.92","-6.9","894.56","0.68","","1.39","1.39","15.82","30.82","5.02","5.52","6.43","0.72","0.83","84.50","381.78","348.18","202.37","512244146","3/28/2021 12:00:00 AM"
"241","כלל פיצויים למעסיק","מרכזית לפיצויים","אחר","כלל פנסיה וגמל בע""מ","202102","1/1/1970 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","3.48","4.99","-3.47","-4.98","895.53","0.68","","0.71","2.11","18.16","32.87","5.72","5.85","6.41","1.20","0.87","85","384.20","287.84","200.95","512244146","3/28/2021 12:00:00 AM"
"242","אקסלנס מרכזית לפיצויים","מרכזית לפיצויים","הפניקס אחזקות בע""מ","הפניקס אקסלנס פנסיה וגמל בע""מ ","202101","1/1/1970 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","0","2.63","-0.68","-3.31","679.72","0.73","","1.27","1.27","15.61","30.91","4.95","5.53","6.99","0","0.76","83","265.78","258.64","176.49","513026484","3/28/2021 12:00:00 AM"
"242","אקסלנס מרכזית לפיצויים","מרכזית לפיצויים","הפניקס אחזקות בע""מ","הפניקס אקסלנס פנסיה וגמל בע""מ ","202102","1/1/1970 12:00:00 AM","כלל האוכלוסיה","כללי","כללי","0","2.49","0.27","-2.22","682.54","0.73","","0.79","2.07","17.74","32.62","5.59","5.81","6.98","0.48","0.80","82.80","271.21","259.41","176.56","513026484","3/28/2021 12:00:00 AM"
